Numer;Dzien;Miesiac;Rok;L1;L2;L3;L4;L5;L6
6961;14;11;2023;4;10;13;36;43;47
6962;16;11;2023;4;16;24;29;30;32
6963;18;11;2023;14;20;26;34;38;46
6939;23;9;2023;7;9;21;32;39;46
6940;26;9;2023;5;7;20;29;33;46
6941;28;9;2023;1;5;9;23;34;44
6942;30;9;2023;25;27;28;32;33;48
6943;3;10;2023;1;8;9;12;37;49
6944;5;10;2023;17;18;31;36;43;49
6945;7;10;2023;13;17;31;37;44;49
6946;10;10;2023;2;10;17;22;28;42
6947;12;10;2023;9;16;17;18;27;41
6948;14;10;2023;9;19;37;41;46;47
6949;17;10;2023;5;15;33;39;40;42
6950;19;10;2023;6;30;38;46;48;49
6951;21;10;2023;5;13;17;36;39;47
6952;24;10;2023;3;19;27;28;36;43
6953;26;10;2023;4;5;18;25;31;38
6954;28;10;2023;7;8;24;30;38;47
6955;31;10;2023;26;28;33;41;43;47
6956;2;11;2023;5;7;15;17;31;49
6957;4;11;2023;2;9;17;29;36;48
6958;7;11;2023;5;8;22;23;37;44
6959;9;11;2023;4;7;24;35;36;47
6960;11;11;2023;10;14;22;27;30;32
