lp;data;n1;n2;n3;n4;n5
6107.;26.05.2023;7;16;34;38;40
6108.;27.05.2023;4;17;19;21;25
6109.;28.05.2023;18;26;33;34;40
6110.;29.05.2023;11;13;36;37;40
6111.;30.05.2023;1;6;17;18;29
6112.;31.05.2023;5;16;20;26;41
6113.;01.06.2023;3;7;20;36;39
6114.;02.06.2023;2;3;23;27;32
6115.;03.06.2023;3;10;13;29;32
6116.;04.06.2023;3;21;25;26;42
6117.;05.06.2023;1;16;17;35;42
6118.;06.06.2023;1;7;12;19;26
6119.;07.06.2023;2;7;14;24;28
6120.;08.06.2023;4;7;11;22;39
6121.;09.06.2023;1;8;10;11;30
6122.;10.06.2023;5;12;29;34;37
6123.;11.06.2023;10;15;18;26;38
6124.;12.06.2023;7;15;22;31;35
6125.;13.06.2023;4;7;11;23;24
6125;14.06.2023;6;10;31;41;42
