lp;data;n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n20
14651.;15.06.2023;1;10;13;15;16;20;23;26;31;34;36;38;45;50;51;56;63;71;78;80
14632.;16.06.2023;7;11;12;13;18;30;32;36;39;40;41;47;54;58;68;69;70;75;76;79
14633.;06.06.2023;1;2;3;5;6;12;13;14;15;16;30;35;36;39;51;54;68;70;74;79
14634.;07.06.2023;14;26;27;29;36;37;42;43;45;46;47;54;57;58;63;65;70;72;73;76
14635.;07.06.2023;1;6;11;16;20;21;25;27;31;42;43;56;58;62;65;66;67;72;77;80
14636.;08.06.2023;6;8;15;22;23;28;32;35;36;40;41;53;55;59;61;63;64;67;73;75
14637.;08.06.2023;3;4;6;11;12;16;17;19;21;23;42;43;46;50;53;55;61;62;75;80
14638.;09.06.2023;2;5;6;8;9;14;16;22;29;32;34;42;48;54;56;57;62;63;72;80
14639.;09.06.2023;14;16;18;20;21;22;26;31;35;38;39;42;43;52;57;62;64;66;76;77
14640.;10.06.2023;1;11;12;15;16;20;21;22;23;30;31;36;40;50;69;73;76;77;79;80
14641.;10.06.2023;8;9;11;19;21;22;25;35;37;42;44;50;52;55;56;70;71;74;79;80
14642.;11.06.2023;1;4;7;8;15;16;21;22;23;34;38;41;43;45;47;55;56;62;73;76
14643.;11.06.2023;6;12;17;22;23;28;29;30;31;32;37;51;52;55;57;62;66;74;75;79
14644.;12.06.2023;3;27;29;31;32;36;37;40;48;50;51;53;56;59;71;72;74;76;77;78
14645.;12.06.2023;3;15;21;28;29;36;39;41;42;44;45;50;55;57;66;69;74;76;77;79
14646.;13.06.2023;1;2;8;10;19;25;33;36;41;44;45;47;49;54;55;58;64;71;75;79
14647.;13.06.2023;1;2;5;13;18;20;21;28;35;38;41;45;48;51;55;59;63;64;72;75
14648;14.06.2023;2;4;15;17;18;19;24;25;26;37;55;61;62;68;70;71;73;76;77;79
14649;14.06.2023;4;6;8;13;20;28;43;45;48;49;51;55;56;58;63;68;71;72;75;79
14650;15.06.2023;10;17;26;28;37;39;40;41;42;44;45;48;51;52;56;58;62;64;66;75
