Artysta,Rok
ABBA,1975
ADELE,2011
ALANIS MORISSETTE,1995
AMY WINEHOUSE,2006
BEATLES,1967
BOB MARLEY & THE WAILERS,1984
COLDPLAY,2000
CORRS,1997
DAVID GRAY,1998
DIDO,2000
DIRE STRAITS,1985
ED SHEERAN,2014
EMINEM,2000
FLEETWOOD MAC,1977
GEORGE MICHAEL,1998
JAMES BLUNT,2004
JEFF WAYNE,1978
KEANE,2004
KINGS OF LEON,2008
LADY GAGA,2008
LEONA LEWIS,2007
MADONNA,1990
MEAT LOAF,1977
MICHAEL BUBLE,2009
MICHAEL JACKSON,1982
MIKE OLDFIELD,1973
NORAH JONES,2002
OASIS,1995
ORIGINAL CAST RECORDING,1965
ORIGINAL SOUNDTRACK,1977
PAUL SIMON,1986
PHIL COLLINS,1989
PINK FLOYD,1973
QUEEN,1981
REM,1992
ROBBIE WILLIAMS,1998
SCISSOR SISTERS,2004
SHANIA TWAIN,1997
SIMON & GARFUNKEL,1970
SIMPLY RED,1991
SNOW PATROL,2006
SPICE GIRLS,1996
TAKE THAT,2005
TRACY CHAPMAN,1988
TRAVIS,1999
U2,1987
VERVE,1997
